Date,Stock,Company,Sector,Close Price,Daily Gain %,Week Gain %,Volume Spike (x avg),RSI (14d),52W High,52W Low,Dist from 52W High %,Sector Weekly Gain %,Market Cap,P/E Ratio,Revenue (Cr),Revenue QoQ %,Revenue YoY %,Net Profit (Cr),Profit QoQ %,Profit YoY %,Operating Profit (Cr),EBITDA Margin %,EPS,EPS Growth YoY %,Operating CF (Cr),Debt to Equity,ROE %,ROCE %,Growth Flags,News (Last 2 Days)
2026-06-19,CHALET.NS,CHALET HOTELS LIMITED,Consumer Cyclical,,,,2.84,,809.95,725.25,,0.0,175709929472,27.27,558.22,-4.03,21.94,163.03,31.38,68.87,278.63,49.91,7.45,68.55,N/A,0.64,19.13,8.33,Profit +68.87% YoY | Profit +31.38% QoQ | EPS +68.55% YoY | EBITDA Margin 49.91%,"Stock picks of the week: 5 stocks with consistent score improvement and upside potential of up to 27%
Chalet Hotels to acquire 144-room Udaipur resort for Rs 171 crore
Disclosures under Reg. 29(2) of SEBI (SAST) Regulations, 2011
Compliances-Reg.24(A)-Annual Secretarial Compliance
Get multiple analysts' prediction on Chalet Hotels"
2026-06-19,CCAVENUE.NS,AVENUESAI LIMITED,Technology,,,,2.09,,15.01,13.24,,1.87,52458967040,16.2,2489.54,4.55,114.52,79.38,10.43,61.67,116.52,4.68,0.28,40.0,N/A,0.09,6.69,3.62,Revenue +114.52% YoY | Profit +61.67% YoY | EPS +40.0% YoY,No recent news
2026-06-19,CAPLIPOINT.NS,CAPLIN POINT LAB LTD.,Healthcare,,,,1.87,,2407.8,1705.62,,-0.06,190295277568,29.74,600.16,10.57,21.75,170.11,3.8,22.42,232.6,38.76,22.38,22.43,N/A,0.0,19.94,11.86,EBITDA Margin 38.76%,"Two Trades for Today: A top technology supplier for a 5.75% upmove, a mid-cap pharma stock for a 7% rise
Next rally hinges on 23,800 breakout, says Dharmesh Shah on Nifty outlook
Compliances-Reg.24(A)-Annual Secretarial Compliance
Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
Get multiple analysts' prediction on Caplin Point"
2026-06-19,ABCAPITAL.NS,ADITYA BIRLA CAPITAL LTD.,Financial Services,,,,3.55,,373.8,336.6,,4.51,985554616320,26.4,13077.54,13.71,45.43,1129.16,19.49,59.49,N/A,N/A,4.31,58.46,N/A,4.92,11.18,1.26,Revenue +45.43% YoY | Profit +59.49% YoY | EPS +58.46% YoY,"Capitalmind Flexi Cap Fund adds Nestle India and 10 others, exits SBI and 14 others in May
Aditya Birla Capital plans to use Rs 3,500 cr to drive lending business growth
Buy, Sell or Hold: Morgan Stanley remains overweight on PI Industries; Goldman Sachs retains buy on Bharat Electronics
Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
Get multiple analysts' prediction on Aditya Birla Cap."
2026-06-19,POLYCAB.NS,POLYCAB INDIA LIMITED,Industrials,,,,1.69,,9905.5,7917.93,,0.59,1518000799744,57.13,8864.48,18.59,72.47,772.77,24.3,68.89,1221.72,13.78,52.18,71.53,1598.2,0.03,24.58,13.56,Revenue +72.47% YoY | Revenue +18.59% QoQ | Profit +68.89% YoY | Profit +24.3% QoQ | EPS +71.53% YoY | ROE 24.58%,"Dividend alert! Last day to buy HDFC Bank, Tata Motors PV, 14 other stocks for dividends worth Rs 248
Jefferies raises Polycab share price target after 30% rally in 2026. Here are 5 reasons why
Stock Radar: Polycab India stock hits fresh record high in May – time to buy or book profits?
Announcement Under Regulation 30 (LODR) - Analyst(S)/ Investor(S) Meet - Intimation
Get multiple analysts' prediction on Polycab India"
2026-06-19,ICIL.NS,INDO COUNT INDUSTRIES LTD,Consumer Cyclical,,,,2.19,,405.85,263.29,,0.0,78152245248,61.66,1057.68,-0.48,3.43,24.2,-0.93,14.98,116.36,11.0,1.23,16.04,N/A,0.57,5.47,3.33,—,"Trump tariffs axed and the 150-day factor: 3 sectors, 15 stocks where real business was hit by tariffs; now the noise may increase
Baap of all trade deals! What Modi-Trump announcement means for your stocks
Export-heavy stocks slide up to 7% as Trump threatens 500% tariff; Avanti Feeds, Kitex Garments lead losses
Announcement under Regulation 30 (LODR)-Analyst / Investor Meet - Intimation
Unlock Stock Score, Analyst' Ratings & Recommendations"
2026-06-19,360ONE.NS,360 ONE WAM LIMITED,Financial Services,,,,1.57,,1142.4,1033.6,,4.51,465467801600,39.31,810.68,0.44,38.25,288.74,-11.78,4.44,477.99,58.96,7.12,-1.93,N/A,1.62,14.39,7.1,Revenue +38.25% YoY | EBITDA Margin 58.96%,No recent news
2026-06-19,HDBFS.NS,HDB FINANCIAL SERVICES L,Financial Services,,,,5.87,,707.53,618.33,,4.51,594313216000,23.24,4738.6,1.55,14.55,750.6,16.57,58.92,2421.1,51.09,9.04,58.78,N/A,4.8,13.94,2.19,Profit +58.92% YoY | EPS +58.78% YoY | EBITDA Margin 51.09%,No recent news
2026-06-19,STARHEALTH.NS,STAR HEALTH & AL INS CO L,Financial Services,,,,2.92,,565.65,499.6,,4.51,341421129728,61.08,4648.16,1.79,12.09,111.34,-13.16,-48.25,N/A,N/A,1.89,-48.36,N/A,N/A,N/A,N/A,—,No recent news
2026-06-19,HCLTECH.NS,HCL TECHNOLOGIES LTD,Technology,,,,2.64,,1414.13,1109.6,,1.87,3062116122624,18.46,33981.0,0.32,12.35,4488.0,10.11,4.2,7034.0,20.7,16.59,4.34,N/A,0.07,23.36,12.83,ROE 23.36%,"Will AI-led tech unwinding pause Rs 60,000 crore FII selloff in Indian IT stocks?
Stocks in news: Bharti Airtel, Vodafone Idea, NLC India, Motilal Oswal, HCL Tech
TCS, Infosys, other IT stocks crash up to 7% after 3-day rally. What top brokerages are saying?
Release - 'Hcltech Launches AI Innovation Zone Featuring Intel-Powered Enterprise Solutions'
Get multiple analysts' prediction on HCL Tech"
2026-06-19,RAINBOW.NS,RAINBOW CHILDRENS MED LTD,Healthcare,,,,1.94,,1450.0,1241.9,,-0.06,149198094336,53.56,459.9,3.24,24.26,77.04,6.22,36.76,149.77,32.57,7.59,36.76,N/A,0.54,17.94,9.55,Profit +36.76% YoY | EPS +36.76% YoY | EBITDA Margin 32.57%,No recent news
2026-06-19,GRSE.NS,GARDEN REACH SHIP&ENG LTD,Industrials,,,,1.58,,3093.8,2536.1,,0.59,320550862848,46.49,1895.69,44.72,64.42,170.77,42.1,74.66,233.92,12.34,14.91,74.59,N/A,0.01,31.79,4.45,Revenue +64.42% YoY | Revenue +44.72% QoQ | Profit +74.66% YoY | Profit +42.1% QoQ | EPS +74.59% YoY | ROE 31.79%,No recent news
